Area;Indicator Name;Year;Fertilizer (kg/ha)
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1996;"193,37"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1997;"184,78"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1998;"174,13"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);1999;"163,47"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);2000;153
Denmark;Fertilizer consumption (kilograms per hectare of arable land);2001;"134,67"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);2002;"128,87"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);2003;"138,18"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);2004;"144,78"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);2005;"137,12"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);2006;"138,58"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);2007;"142,41"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);2008;"147,68"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);2009;"102,92"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);2010;"113,71"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);2011;"112,85"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);2012;"107,11"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);2013;"116,62"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);2014;"123,57"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);2015;"136,88"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);2016;"139,14"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);2017;"163,17"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);2018;"134,84"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);2019;"136,08"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);2020;"151,28"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);2021;"139,42"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);2022;"120,87"
Denmark;Fertilizer consumption (kilograms per hectare of arable land);2023;"113,64"
Estonia;Fertilizer consumption (kilograms per hectare of arable land);1992;"101,09"
Estonia;Fertilizer consumption (kilograms per hectare of arable land);1993;"60,93"
Estonia;Fertilizer consumption (kilograms per hectare of arable land);1994;"43,92"
Estonia;Fertilizer consumption (kilograms per hectare of arable land);1995;"32,04"
Estonia;Fertilizer consumption (kilograms per hectare of arable land);1996;"25,08"
Estonia;Fertilizer consumption (kilograms per hectare of arable land);1997;"31,31"
Estonia;Fertilizer consumption (kilograms per hectare of arable land);1998;"36,52"
Estonia;Fertilizer consumption (kilograms per hectare of arable land);1999;"31,77"
Estonia;Fertilizer consumption (kilograms per hectare of arable land);2000;"41,55"
Estonia;Fertilizer consumption (kilograms per hectare of arable land);2001;"43,88"
Estonia;Fertilizer consumption (kilograms per hectare of arable land);2002;"44,01"
Estonia;Fertilizer consumption (kilograms per hectare of arable land);2003;"71,65"
Estonia;Fertilizer consumption (kilograms per hectare of arable land);2004;"84,31"
Estonia;Fertilizer consumption (kilograms per hectare of arable land);2005;"60,95"
Estonia;Fertilizer consumption (kilograms per hectare of arable land);2006;"75,65"
Estonia;Fertilizer consumption (kilograms per hectare of arable land);2007;"75,87"
Estonia;Fertilizer consumption (kilograms per hectare of arable land);2008;"100,36"
Estonia;Fertilizer consumption (kilograms per hectare of arable land);2009;"69,41"
Estonia;Fertilizer consumption (kilograms per hectare of arable land);2010;"68,39"
Estonia;Fertilizer consumption (kilograms per hectare of arable land);2011;"71,52"
Estonia;Fertilizer consumption (kilograms per hectare of arable land);2012;"81,07"
Estonia;Fertilizer consumption (kilograms per hectare of arable land);2013;"82,36"
Estonia;Fertilizer consumption (kilograms per hectare of arable land);2014;"85,34"
Estonia;Fertilizer consumption (kilograms per hectare of arable land);2015;"82,67"
Estonia;Fertilizer consumption (kilograms per hectare of arable land);2016;"79,29"
Estonia;Fertilizer consumption (kilograms per hectare of arable land);2017;"87,94"
Estonia;Fertilizer consumption (kilograms per hectare of arable land);2018;"88,39"
Estonia;Fertilizer consumption (kilograms per hectare of arable land);2019;"90,27"
Estonia;Fertilizer consumption (kilograms per hectare of arable land);2020;"94,78"
Estonia;Fertilizer consumption (kilograms per hectare of arable land);2021;"103,49"
Estonia;Fertilizer consumption (kilograms per hectare of arable land);2022;"85,78"
Estonia;Fertilizer consumption (kilograms per hectare of arable land);2023;"74,86"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1961;"90,67"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1962;"88,06"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1963;"106,03"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1964;"120,74"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1965;"128,08"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1966;"126,89"
