Year;Actual;Predicted;Type
1998;25889;25053.203454745482;Train
1998;39135;40117.335847054965;Train
1998;37356;38572.7539643205;Train
1998;12830;13242.391177441723;Train
1998;40443;28119.9610974219;Train
1998;38139;39189.09131550218;Train
1998;26842;25228.502927037083;Train
1998;28306;27470.99705740878;Train
1998;26054;27971.681606331902;Train
1998;13577;13402.467499985401;Train
1998;13755;16782.901365533762;Train
1998;40337;39723.06834970804;Train
1998;23439;21876.577170243345;Train
1999;40152;40374.28705323506;Train
1999;24492;23238.760351714067;Train
1999;8203;12658.227529089916;Train
1999;24184;24618.443655142175;Train
1999;14496;14082.928084842693;Train
1999;14105;13899.200307046694;Train
1999;30704;29155.567308832397;Train
1999;31943;29559.642658163586;Train
1999;24742;22271.66594078243;Train
1999;19905;19303.20931338789;Train
1999;25626;25352.69763285143;Train
1999;35226;37640.62110165256;Train
1999;19726;22792.50575046953;Train
1999;30195;30389.51994398987;Train
1999;10978;15259.328444192644;Train
1999;21242;19887.731079056906;Train
1999;15717;18522.220679151415;Train
1999;15648;17255.600650127853;Train
1999;14202;13066.657226590452;Train
1999;39551;30102.524596244482;Train
1999;12981;13572.236156608085;Train
1999;37499;39413.40919703399;Train
1999;39736;38551.90411129974;Train
1999;15878;13914.282896039695;Train
1999;27298;25978.487753897247;Train
1999;10848;12158.484614535022;Train
1999;11333;16460.083392709963;Train
1999;46283;43768.40537551164;Train
2000;14563;14030.093509935377;Train
2000;42436;39792.60519624504;Train
2000;26376;26671.62327812374;Train
2000;39976;40525.37280995731;Train
2000;15265;13802.536574414258;Train
2000;18474;19819.01300554838;Train
2000;16392;13984.7708951887;Train
2000;44406;32297.231837696843;Train
2000;12163;13045.321610697813;Train
2000;20795;22533.946938686848;Train
2000;23589;25151.451485860307;Train
2000;39599;38927.58810544261;Train
2000;13820;16995.98846167683;Train
2000;43344;40194.724636503044;Train
2000;33689;30100.012573568507;Train
2000;7526;12730.477129642368;Train
2000;19376;19267.834209050514;Train
2000;20723;20559.530775754374;Train
2000;14123;13559.639575201147;Train
2000;25070;24570.225159924634;Train
2000;8488;12289.12389883758;Train
2000;42486;33001.79648285431;Train
2000;13189;17124.23921800285;Train
2000;25920;23981.147312855068;Train
2000;24385;24588.660919188624;Train
2000;12328;13523.318100223683;Train
2000;29263;30165.007522366395;Train
2000;45655;43939.235972984025;Train
2000;29788;29343.144071377832;Train
2001;40297;40734.860944373984;Train
2001;25091;24780.0650622664;Train
2001;19047;22310.915283762137;Train
2001;11167;13558.952106781982;Train
2001;15525;13817.457058146123;Train
2001;14973;17264.8781536081;Train
2001;12213;17210.07096465965;Train
2001;25050;20240.40195380006;Train
2001;14882;13518.586877316357;Train
2001;37439;39710.94949014493;Train
