Year;Actual_Yield;Predicted_Yield;Data_Type
2010;25166;25875.457732217037;Train
2011;22914;24764.30934307465;Train
1961;16034;14639.717552143182;Train
1962;12995;14122.115201668857;Train
1963;15799;15500.894649126558;Train
1964;16914;15866.507032236075;Train
1965;15429;15035.028070001117;Train
1966;16890;15395.615247506417;Train
1967;17589;14377.57487001284;Train
1968;18488;17863.777805970887;Train
1969;16530;17461.88425033384;Train
1970;18411;18568.147561782385;Train
1971;14910;17719.77863430963;Train
1972;18349;21586.673002406562;Train
1973;19388;20941.34079479549;Train
1974;18078;22701.562159987418;Train
1975;17990;19804.976505874536;Train
1976;20256;19548.876681987975;Train
1977;16887;22504.133707681918;Train
1978;19769;22470.203944512563;Train
1979;20311;22273.097838905946;Train
1980;11260;20390.966819641537;Train
1981;18852;21890.06664704583;Train
1982;14671;17285.835037334014;Train
1983;15529;18467.514214600455;Train
1984;17439;18740.019238256104;Train
1985;17444;23892.169018200835;Train
1986;19434;24633.69305589787;Train
1987;18744;23981.159870640968;Train
1988;18599;24566.965579839707;Train
1989;18505;19070.868335202173;Train
1990;19785;17438.71328602813;Train
1991;16759;15718.935563932962;Train
1992;13309;15123.76566272523;Train
1993;20600;18087.301620009763;Train
1994;13585;17010.860525180804;Train
1995;16351;17653.1878581919;Train
1996;20283;18480.26608337031;Train
1997;15903;17756.185619621305;Train
1998;20038;18975.203503147583;Train
1999;15717;17956.74003581787;Train
2000;19376;19048.95953396159;Train
2001;16227;19784.813102247725;Train
2002;19322;19260.270767242917;Train
2003;17932;19663.435173240592;Train
2004;19627;19843.784971944802;Train
2005;17629;19218.92719983457;Train
2006;15039;18748.984340571755;Train
2007;20701;23292.355504669315;Train
2008;19061;19897.90329672589;Train
2009;19102;20960.770518881898;Train
2010;21084;23499.274581337686;Train
2011;23034;21422.46867692364;Train
1961;9754;9650.628396426166;Train
1962;8780;9627.847982554855;Train
1963;10723;9901.298732295592;Train
1964;10469;9855.289807807723;Train
1965;8778;9649.089830415978;Train
1966;9135;9899.799383995472;Train
1967;10920;10622.46097986523;Train
1968;10081;10554.758401930017;Train
1969;10415;10408.7734864791;Train
1970;10727;10501.594754997073;Train
1971;10186;11195.911157136527;Train
1972;9998;11115.454853882235;Train
1973;9787;10269.165684958514;Train
1974;9884;10350.01195928464;Train
1975;9483;10088.463582310198;Train
1976;7976;9336.627245216683;Train
1977;9532;9817.060697079987;Train
1978;9458;9719.52452869698;Train
1979;9473;9844.329761322333;Train
1980;9761;9715.101268899834;Train
1981;7865;9390.716973539804;Train
1982;8687;9477.27629331213;Train
1983;7652;9012.18908101713;Train
1984;8562;9171.752861178229;Train
1985;9194;9658.403620811347;Train
1986;12885;11606.456736266053;Train
1987;13095;11603.317376252573;Train
1988;10719;11819.051298872288;Train
1989;11268;10685.560171980229;Train
1990;11160;13306.15841508363;Train
1991;12651;14129.80310079801;Train
1992;14326;15356.141845135768;Train
1993;13942;14784.305191417956;Train
1994;14495;14705.760062303718;Train
1995;14846;14783.032556557091;Train
1996;14581;15128.608334255252;Train
1997;12395;14107.295303136425;Train
1998;13755;15282.858499568194;Train
1999;15648;15855.44097962626;Train
2000;13820;14889.994718212594;Train
2001;14973;15377.89605001094;Train
2002;16164;16114.34146164287;Train
2003;16081;16212.864140464926;Train
2004;16994;16978.338551298853;Train
2005;14728;16477.58126555385;Train
